Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016
"Egypt, Arab Rep.",EGY,"Mobile account, income, richest 60% (% ages 15+) [w2]",WP15163_4.9,1.487011,,
"Egypt, Arab Rep.",EGY,"Mobile account, income, poorest 40% (% ages 15+) [w2]",WP15163_4.8,0.639735,,
"Egypt, Arab Rep.",EGY,"Mobile account, female (% age 15+) [w2]",WP15163_4.3,0.1320325,,
"Egypt, Arab Rep.",EGY,"Mobile account, male (% age 15+) [w2]",WP15163_4.2,2.119132,,
"Egypt, Arab Rep.",EGY,Mobile account (% age 15+) [w2],WP15163_4.1,1.144944,,
"Egypt, Arab Rep.",EGY,"Account at a financial institution, income, richest 60% (% ages 15+) [ts]",WP_time_01.9,19.52876,,
"Egypt, Arab Rep.",EGY,"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]",WP_time_01.8,4.971826,,
"Egypt, Arab Rep.",EGY,"Account at a financial institution, female (% age 15+) [ts]",WP_time_01.3,9.175452,,
"Egypt, Arab Rep.",EGY,"Account at a financial institution, male (% age 15+) [ts]",WP_time_01.2,17.95692,,
"Egypt, Arab Rep.",EGY,Account at a financial institution (% age 15+) [ts],WP_time_01.1,13.65175,,
"Egypt, Arab Rep.",EGY,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,
"Egypt, Arab Rep.",EGY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,
"Egypt, Arab Rep.",EGY,"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE,,,
"Egypt, Arab Rep.",EGY,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,200,,
"Egypt, Arab Rep.",EGY,Battle-related deaths (number of people),VC.BTL.DETH,184,750,
"Egypt, Arab Rep.",EGY,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,35.5723909878,33.5229156994,
"Egypt, Arab Rep.",EGY,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,48.2955358685,53.7645641264,
"Egypt, Arab Rep.",EGY,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,1.3101433728,0.7832449186,
"Egypt, Arab Rep.",EGY,High-technology exports (current US$),TX.VAL.TECH.CD,176345548,88390406,
"Egypt, Arab Rep.",EGY,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,20261500000,18092400000,
"Egypt, Arab Rep.",EGY,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,14.867112504,10.5464172802,
"Egypt, Arab Rep.",EGY,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,508.9493670665,380.0371369614,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,18.7417293986,,
"Egypt, Arab Rep.",EGY,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,26692508624,,
"Egypt, Arab Rep.",EGY,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,3.22292154,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,6.0965541078,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,8.1063724526,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,18.7417293986,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,0.8632666388,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,6.3732342095,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1.9483089256,,
"Egypt, Arab Rep.",EGY,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,23.3877363343,,
"Egypt, Arab Rep.",EGY,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,54.6476127271,,
"Egypt, Arab Rep.",EGY,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,26366614138.438,19051258129.3195,
"Egypt, Arab Rep.",EGY,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,35.3456399955,,
"Egypt, Arab Rep.",EGY,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,4.206975585,4.5728196552,
"Egypt, Arab Rep.",EGY,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,51.4665601206,52.8932756246,
"Egypt, Arab Rep.",EGY,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1.2649606396,2.166102894,
"Egypt, Arab Rep.",EGY,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,2.8380774264,,
"Egypt, Arab Rep.",EGY,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,23.8779831083,18.4218709343,
"Egypt, Arab Rep.",EGY,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,17.1025710633,20.4347376634,
"Egypt, Arab Rep.",EGY,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.1931759065,2.5969708288,
"Egypt, Arab Rep.",EGY,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,183.9182117677,193.1141223561,
"Egypt, Arab Rep.",EGY,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,149.3535364128,122.4490371833,
"Egypt, Arab Rep.",EGY,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,18.6879840001,,
"Egypt, Arab Rep.",EGY,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,48.3610216606,,
"Egypt, Arab Rep.",EGY,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,16800100000,,
"Egypt, Arab Rep.",EGY,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,22.4706995792,,
"Egypt, Arab Rep.",EGY,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,458.1129985481,415.1936965128,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2.2400786382,,
"Egypt, Arab Rep.",EGY,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,68188487759,,
"Egypt, Arab Rep.",EGY,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,0.0285264722,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1.097402583,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,3.7126816244,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,2.2400786382,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,3.3850331264,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,10.354525846,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,14.2500288631,,
"Egypt, Arab Rep.",EGY,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,32.799672043,,
"Egypt, Arab Rep.",EGY,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,64.9317228467,,
"Egypt, Arab Rep.",EGY,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,71281834408.6082,65043934996.4578,
"Egypt, Arab Rep.",EGY,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,13.6513042596,,
"Egypt, Arab Rep.",EGY,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,4.3997642946,3.0058844464,
"Egypt, Arab Rep.",EGY,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,56.7817140864,58.9047324235,
"Egypt, Arab Rep.",EGY,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,10.4802947602,,
"Egypt, Arab Rep.",EGY,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,4.2224046816,,
"Egypt, Arab Rep.",EGY,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,13.9620713719,15.748728467,
"Egypt, Arab Rep.",EGY,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,21.0992787377,19.3516558047,
"Egypt, Arab Rep.",EGY,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,3.3067495562,2.8227391448,
"Egypt, Arab Rep.",EGY,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,7.45,7.31,
"Egypt, Arab Rep.",EGY,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,5.53,5.39,
"Egypt, Arab Rep.",EGY,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,1.308011,1.274308,
"Egypt, Arab Rep.",EGY,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,36.4,36.38,
"Egypt, Arab Rep.",EGY,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,23.17,22.96,
"Egypt, Arab Rep.",EGY,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,11.26958,11.24042,
"Egypt, Arab Rep.",EGY,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,60.92,60.92,
"Egypt, Arab Rep.",EGY,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,99.1,99.1,
"Egypt, Arab Rep.",EGY,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,10.58,10.47,
"Egypt, Arab Rep.",EGY,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,7.38,7.04,
"Egypt, Arab Rep.",EGY,"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,0.1813506,0.1752342,
"Egypt, Arab Rep.",EGY,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,16.75,16.74,
