"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"1995";"-123.7232"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"2000";"27.4314"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"2005";"-147.8668"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"2010";"-79.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"2015";"-53.969"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AFG";"M";"2020";"-4.2996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"1995";"-23.957"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"2000";"2.131"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"2005";"2.131"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"2010";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"2015";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"AZE";"M";"2020";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"1995";"10.652"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"2000";"12.366"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"2005";"8.8332"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"2010";"7"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"2015";"6"
"SM_POP_NETM";"A";"_T";"_T";"_T";"CYP";"M";"2020";"5"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"1995";"-3.3002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"2000";"-3.6302"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"2005";"-3.993"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"2010";"-3.1992"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"2015";"-3.1992"
"SM_POP_NETM";"A";"_T";"_T";"_T";"DJI";"M";"2020";"-3.1992"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"1995";"-1.7774"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"2000";"45.8756"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"2005";"11.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"2010";"11.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"2015";"-0.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ERI";"M";"2020";"-0.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"1995";"-61.1154"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"2000";"-16.6364"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"2005";"-10.0264"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"2010";"-12.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"2015";"-12.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ETH";"M";"2020";"-12.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"1995";"-78.0072"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"2000";"-61.8042"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"2005";"-30"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"2010";"-25.0014"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"2015";"-21.8748"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GEO";"M";"2020";"-18.7502"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"1995";"59.4862"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"2000";"10.8464"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"2005";"10.8464"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"2010";"9.9992"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"2015";"9.9992"
"SM_POP_NETM";"A";"_T";"_T";"_T";"GRC";"M";"2020";"20.0008"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"1995";"-88.573"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"2000";"-384.649"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"2005";"-595.676"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"2010";"-458.8098"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"2015";"-385.6256"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IND";"M";"2020";"-249.3382"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"1995";"123.0586"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"2000";"-14.0614"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"2005";"-109.8532"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"2010";"-60.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"2015";"-20.0004"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRN";"M";"2020";"-20.0006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"1995";"-3.5718"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"2000";"-53.264"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"2005";"-91.4664"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"2010";"89.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"2015";"50.3996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"IRQ";"M";"2020";"50.3996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"1995";"49.0668"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"2000";"20.587"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"2005";"54.727"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"2010";"-15.197"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"2015";"8.2002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ISR";"M";"2020";"7.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"1995";"44.7948"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"2000";"370.6976"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"2005";"382.2614"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"2010";"180"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"2015";"150"
"SM_POP_NETM";"A";"_T";"_T";"_T";"ITA";"M";"2020";"120"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"1995";"-37.6524"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2000";"-36.8532"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2005";"90.022"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2010";"80.0004"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2015";"-80.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2020";"-10.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"1995";"-264.9968"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2000";"8.906"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2005";"-2.2594"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2010";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2015";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2020";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"1995";"-6.541"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2000";"-48.3934"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2005";"-25.6242"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2010";"-35.0006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2015";"-15"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2020";"-15"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"1995";"25.1046"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2000";"40.0348"
